"filename", "language", "PHP", "Markdown", "JSON", "XML", "JavaScript", "CSS", "SCSS", "Less", "Ruby", "comment", "blank", "total"
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.dataTables.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.foundation.css", "CSS", 0, 0, 0, 0, 0, 356, 0, 0, 0, 0, 16, 372
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.foundation.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.jqueryui.css", "CSS", 0, 0, 0, 0, 0, 373, 0, 0, 0, 0, 15, 388
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.jqueryui.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.semanticui.css", "CSS", 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 18, 410
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\buttons.semanticui.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\common.scss", "SCSS", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 17, 107
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\css\mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 178, 0, 0, 8, 43, 229
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bootstrap.js", "JavaScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 8, 12, 107
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bootstrap.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bootstrap4.js", "JavaScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 8, 12, 107
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bootstrap4.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bootstrap5.js", "JavaScript", 0, 0, 0, 0, 87, 0, 0, 0, 0, 8, 12, 107
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bootstrap5.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bulma.js", "JavaScript", 0, 0, 0, 0, 94, 0, 0, 0, 0, 11, 13, 118
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.bulma.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.colVis.js", "JavaScript", 0, 0, 0, 0, 185, 0, 0, 0, 0, 25, 41, 251
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.colVis.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.dataTables.js", "JavaScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 11, 15, 93
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.dataTables.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.foundation.js", "JavaScript", 0, 0, 0, 0, 109, 0, 0, 0, 0, 11, 15, 135
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.foundation.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.html5.js", "JavaScript", 0, 0, 0, 0, 1121, 0, 0, 0, 0, 158, 216, 1495
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.html5.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.jqueryui.js", "JavaScript", 0, 0, 0, 0, 73, 0, 0, 0, 0, 8, 12, 93
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.jqueryui.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.print.js", "JavaScript", 0, 0, 0, 0, 156, 0, 0, 0, 0, 34, 49, 239
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.print.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.semanticui.js", "JavaScript", 0, 0, 0, 0, 85, 0, 0, 0, 0, 8, 12, 105
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\buttons.semanticui.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\dataTables.buttons.js", "JavaScript", 0, 0, 0, 0, 1753, 0, 0, 0, 0, 388, 398, 2539
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\Buttons-2.3.6\js\dataTables.buttons.min.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bootstrap.css", "CSS", 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 15, 417
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bootstrap4.css", "CSS", 0, 0, 0, 0, 0, 409, 0, 0, 0, 0, 15, 424
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bootstrap4.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bootstrap5.css", "CSS", 0, 0, 0, 0, 0, 411, 0, 0, 0, 5, 15, 431
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bootstrap5.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 1, 6
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bulma.css", "CSS", 0, 0, 0, 0, 0, 366, 0, 0, 0, 3, 11, 380
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.bulma.min.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 4
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.dataTables.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.dataTables.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.foundation.css", "CSS", 0, 0, 0, 0, 0, 347, 0, 0, 0, 0, 11, 358
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.foundation.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.jqueryui.css", "CSS", 0, 0, 0, 0, 0, 646, 0, 0, 0, 15, 13, 674
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.jqueryui.min.css", "CSS", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\TiendaOnline_Veterinaria_TerraPet\assets\DataTables\DataTables-1.13.4\css\dataTables.semanticui.css", "CSS", 0, 0, 0, 0, 0, 338, 0, 0, 0, 3, 8, 349
